HEADER
"DATA START"
ID,display_id,GUID,DID,DAO,ShortTitle,Category,Type,Status,Priority,Created [YYYY-MM-DD],Author,Authors,Tags,Description,Context_Origin_WhyItWasInitiated,Technology,SFIA_Level,SFIA_Domain,SFIA_Maturity,Related_KNIFE,PotentialOutputs,Owner,Org,Project,Locale,FolderName,SidebarLabel,LinkSlug,Copyright,RightsHolderContent,RightsHolderSystem,License,Disclaimer
K000,,18f0681d-54db-4a41-a7fd-b77386a7299e,,,OneNote ako zdroj metadát pre AI,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000024-onenote-ako-zdroj-metadat-pre-ai,,,,,,,
K000,,0e591458-c661-4f18-8e85-9c1c14efaedc,,,Kategorizácia TERNO podľa SDLC a 7D,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000025-kategorizacia-terno-podla-sdlc-a-7d,,,,,,,
REF-UAT-001,,uat-guide-20251005,,,Postup pre presun zmien z vetvy FIX do UAT,governance,user-guide,,top,2025-10-05,Roman Kazička,,GIT; UAT; Workflow,,,,,,,,,,,,,K000026-knife-framework-pre-vyvoj-a-ucenie-sa-libreoffice-python,,,,,,,
K000,,3264251d-6fb5-41f2-b8eb-9b726c2542f2,,,Git For Dummies – Central Concepts,,,,,2025-09-17,Roman Kazicka,,KNIFE; images,,,,,,,,,,,,,K000027-git-for-dummies-central-concepts,,,,,,,
K000,,735d6a47-d44c-40c7-861c-8fca193b68ef,,,"Context Aware System Ontology, Approach",,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000028-context-aware-system-ontology-approach,,,,,,,
K000,,31b04e60-ff57-4a5b-95b3-e24be0a1e338,,,Prostredie vývojové python pre LO,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000029-prostredie-vyvojove-python-pre-lo,,,,,,,
K000,,553c7b60-ab06-4412-96dc-84d0ea2fa323,,,Príbeh poznania SDLC,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000030-pribeh-poznania-sdlc,,,,,,,
K000,,0b3729dc-ca0b-4025-879a-c6fc72a83d84,,,"„Document-as-Code\\\\\\\\\\\\\\\"" framework",,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000031-document-as-code-framework,,,,,,,
K000,,d7f03d39-ef27-4747-96b3-1ed94589eb90,,,"„Enterprise Document-integrated SDLC\\\\\\\\\\\\\\\""",,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000032-enterprise-document-integrated-sdlc,,,,,,,
K000,,4bf0fa16-972c-4cbc-a923-2d28af33f41d,,,Smalltalk ako nástroj flowu a kontextu,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000033-smalltalk-ako-nastroj-flowu-a-kontextu,,,,,,,
K000034,,cd2b41b5-45c1-4464-9c35-94ad9309bbea,,,"Pracovno, finančný ekosystém",CAS-ContextAwareSolutions,Koncepty,,Vysoká,2025-05-25,Roman Kazicka,,Pracovné právo,,,,,,,,,,,,,K000034-pracovno-financny-ekosystem,,,,,,,
K000035,,a0dd0165-5fd8-4d56-b1e5-46b014bf6dd6,,,"Context Aware Solutions / paradigma, solution",SSL certificates DIY,User guide,,Vysoka,2025-05-26,Roman Kazicka,,,,,,,,,,,,,,,K000035-context-aware-solutions-paradigma-solution,,,,,,,
K000,,5d8e7ee1-a0d2-474b-832e-c91a030ea3d0,,,"Pracovno, finančný ekosystém",,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000036-pracovno-financny-ekosystem,,,,,,,
K000,,ae7ca16f-5400-4912-b3e1-60c755c6b16b,,,"Context Aware Solutions / paradigma, solution",,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000037-context-aware-solutions-paradigma-solution,,,,,,,
K000,,14675413-a6ee-4b45-9be4-1e2012d03c95,,,Ako si vyrobit automaticke nastavovanie SSL,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000038-ako-si-vyrobit-automaticke-nastavovanie-ssl,,,,,,,
K000,,d65f381f-c6dd-43af-a6e3-1742a5adb17d,,,Sementicke a kontextove vyhladavanie nad GitHUB,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000039-sementicke-a-kontextove-vyhladavanie-nad-github,,,,,,,
K000,,c96e9214-93fc-4799-ae2d-43fa543430fd,,,Migracia Joomla -->GitHUB MkDocs,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000040-migracia-joomla-github-mkdocs,,,,,,,
K000,,e1f2e352-e045-4680-a750-4bba1f8f7479,,,GitHUB Education Framework,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000041-github-education-framework,,,,,,,
K000,,ed25f447-b17f-4a3a-941e-bb441e170fc3,,,SinglePageApplication – Webabased desktop app,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000042-singlepageapplication-webabased-desktop-app,,,,,,,
K000,,50afe040-3e25-46cc-bb56-8b594dadf3cf,,,Kontrola odpovedé študentov pomocou API na AI,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000043-kontrola-odpovede-studentov-pomocou-api-na-ai,,,,,,,
K000,,dee65721-5f92-4cf5-8a45-0dd0ace2a7e9,,,OneDrive backup to external disk on QNAP,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000044-onedrive-backup-to-external-disk-on-qnap,,,,,,,
K000,,550e3260-c6ee-402a-9c41-5250e9cd1af3,,,Základné informácie o ESG,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000045-zakladne-informacie-o-esg,,,,,,,
K000,,b045421e-412b-4e20-b0ad-ebe5e1fbed9f,,,Thunderbird – Archive-export,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000046-thunderbird-archive-export,,,,,,,
K000,,82c38956-39d1-4afa-8b78-845c78c22083,,,KNIFE047 – 7S Cycle of Meaningful Knowledge,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000047-knife047-7s-cycle-of-meaningful-knowledge,,,,,,,
K000,,dfd04696-0904-4798-83bd-5e77bb371baf,,,AI – Agent in OpenGPT,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000048-ai-agent-in-opengpt,,,,,,,
K000,,6fa9ddd3-5de1-4c99-ab0f-db87d301f005,,,KNIFE049 – Vyhľadávač nad OpenGPT históriou,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000049-knife049-vyhladavac-nad-opengpt-historiou,,,,,,,
K000,,abaf199d-563c-487a-88d2-2c8d784afb84,,,"Open GPT, vytváranie prompt instructions",,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000050-open-gpt-vytvaranie-prompt-instructions,,,,,,,
K000,,9b195cd2-e816-41b8-98be-a2a0a76538ef,,,Google analytics – Fundamentals,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000051-google-analytics-fundamentals,,,,,,,
K000,,37c1ee83-aa1c-4a67-a8f5-ed3fdae3e7aa,,,GitHub LMS Framework,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000052-github-lms-framework,,,,,,,
K000,,ecadab7c-5f34-4296-864e-7c75f3ed0997,,,Framework for Project Management in GitHUB,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000053-framework-for-project-management-in-github,,,,,,,
K000,,e6a19133-a51b-4041-a811-6ccd8611fde0,,,Docusaurus Advanced Deployment Pipeline,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000054-docusaurus-advanced-deployment-pipeline,,,,,,,
K000,,547ee1b8-84a2-4c6c-97c3-205967de0847,,,Ako obnoviť stav z minulosti?,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000055-ako-obnovit-stav-z-minulosti,,,,,,,
K000,,b27765d2-8514-437e-91f2-5ed1d4f76c43,,,Central Panel for GIT – SDLC Git Management Makefile,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000056-central-panel-for-git-sdlc-git-management-makefile,,,,,,,
K000,,1ee7fec7-5397-4920-b47d-48035c5c9125,,,AI Agent na monitoroavanie nákladov OpenGPT,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000057-ai-agent-na-monitoroavanie-nakladov-opengpt,,,,,,,
K000,,51d82867-eba4-49e4-a6fb-977cf669c250,,,AI Agent na monitoroavanie nákladov OpenGPT od počiatku komunikácie,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000058-ai-agent-na-monitoroavanie-nakladov-opengpt-od-pociatku-komunikacie,,,,,,,
K000,,d7e5dc5c-968e-4af4-a7b2-d76bcff5f12e,,,STEM a Makerspace ako metodika vzdelávania,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000059-stem-a-makerspace-ako-metodika-vzdelavania,,,,,,,
K000,,df47b738-87e7-4385-af12-555ac3e1666b,,,Export Draw.io diagramu do A4 PNG,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000060-export-draw-io-diagramu-do-a4-png,,,,,,,
K000,,35066cd7-1202-4c04-9cfe-02512ca5fa7f,,,Passkey ako bezpečnostný koncept,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000061-passkey-ako-bezpecnostny-koncept,,,,,,,
K000,,7b469b9d-1eb5-48f6-a853-b17f4c775066,,,K000062 – Docusaurus slugy a routing,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000062-docusaurus-slugy-a-routing,,,,,,,
K000,,32ff770d-25ab-45d7-b8f0-b7857fd53ecb,,,Automatické generovanie KNIFES,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000063-automaticke-generovanie-knifes,,,,,,,
K000,,fd7b354d-8ead-42aa-a615-e545c5c13cd1,,,"GA4, GTN, UTM",,,,,2025-09-17,Roman Kazicka,,KNIFE; images,,,,,,,,,,,,,K000064-ga4-gtn-utm,,,,,,,
K000,,72cf0d0c-72d5-41b7-8b70-06b46e43e8ab,,,"MAKEFILE for KNIFE Ecosystem for Mac,Windows, Linux",,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000065-makefile-for-knife-ecosystem-for-mac-windows-linux,,,,,,,
K000,,a2c536d5-d18f-4d80-a2bd-9ef502904b9a,,,Porovnanie biznis plánov GitHub,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000066-porovnanie-biznis-planov-github,,,,,,,
K000,,83572f2b-c6d2-4f75-9a41-22457168d71e,,,GitHub Deployment stratégie,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000067-github-deployment-strategie,,,,,,,
K000,,bfb1bccf-cf2c-4d8a-bc29-c00c6b7e1b8e,,,Kruhový portrét v GIMP,,,,,2025-09-17,Roman Kazicka,,KNIFE; images,,,,,,,,,,,,,K000068-kruhovy-portret-v-gimp,,,,,,,
K000,,ea7ecfe2-fc8d-4c67-9966-187ef88afd3b,,,"Kto ma pochváli, ak sa nepochválim sám?",,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000069-kto-ma-pochvali-ak-sa-nepochvalim-sam,,,,,,,
K000,,c5d8b05b-4afb-4618-8ca4-657a78acd5d8,,,EA Fundamentals,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000070-ea-fundamentals,,,,,,,
K000,,d0c8a434-fc6d-4444-8c4e-7577fd78dc0a,,,7Ds-Seven Disciplines for successful solutions,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000071-7ds-seven-disciplines-for-successful-solutions,,,,,,,
K000,,e2e77f43-e904-4438-8a74-07ac68541237,,,"APV-Assets-Perspectives-Views, Keep Your Aseests in Order",,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000072-apv-assets-perspectives-views-keep-your-aseests-in-order,,,,,,,
K000,,3908aa84-1d7b-4ba7-8d41-ca17e1087d86,,,Q12- Twelve quadrants for starting business,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000073-q12-twelve-quadrants-for-starting-business,,,,,,,
K000,,55dc93cb-b910-48ef-8ce7-8a72009286f5,,,SDLC-Solution Development Life Cycle,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000074-sdlc-solution-development-life-cycle,,,,,,,
K000,,8566c5a6-e260-4cb7-bf8e-d7eedc89bf7f,,,Lean canvas,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000075-lean-canvas,,,,,,,
K000,,0486c717-dc17-41c2-ab44-f2f365c4a7be,,,"CAA- Context Aware Approach, CASY-Context Aware Systems, CASo-Context Aware Solution",,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000076-caa-context-aware-approach-casy-context-aware-systems-caso-context-aware-solution,,,,,,,
K000,,67fa4142-7407-4ca8-a24a-a0777669bc26,,,KNIFE047 – 7S Cycle of Meaningful Knowledge,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000077-knife047-7s-cycle-of-meaningful-knowledge,,,,,,,
K000,,9fa013f5-0130-4af4-8e6e-db4ca6d38397,,,Language as a Bridge (AI ako most medzi jazykmi),,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000078-language-as-a-bridge-ai-ako-most-medzi-jazykmi,,,,,,,
K000,,d668f12d-7a40-4940-998f-13dba8edeb2b,,,Čo znamená slovo že je niečo idempotentné?,,,,,2025-09-17,Roman Kazička,,KNIFE,,,,,,,,,,,,,K000079-co-znamena-slovo-ze-je-nieco-idempotentne,,,,,,,
K000,,5174fcab-7594-4e7e-8582-7396133dec8c,,,Docusaurus-vs-github-pages-package-json,,,,,2025-09-17,Roman Kazička,,KNIFE,,,,,,,,,,,,,K000080-docusaurus-vs-github-pages-package-json,,,,,,,
K000,,02921a34-5a83-4713-bafa-1be560a98d18,,,Transparentná -Stabilná infraštruktúra pre Sites,,,,,2025-09-24,Roman Kazička,,KNIFE; images,,,,,,,,,,,,,K000081-transparentna-stabilna-infrastruktura-pre-sites,,,,,,,
K000,,060ab917-70a9-4e1f-b1db-a6c9fc8ce8b3,,,Ako urobiť text v MD atraktívnejší (emoji),,,,,2025-09-28,Roman Kazička,,KNIFE,,,,,,,,,,,,,K000082-ako-urobit-text-v-md-atraktivnejsi-emoji,,,,,,,
K000,,7e41fe41-1fcc-4dc9-912d-8b422c9ca272,,,Aktualizácia komponentov pre Docusaurus,,,,,2025-09-24,Roman Kazička,,KNIFE,,,,,,,,,,,,,K000083-aktualizacia-komponentov-pre-docusaurus,,,,,,,
K000,,c000d02a-b7ed-4e78-a5be-9e8e975445e0,,,Ako aktivovať na GitHube EDU benefity,,,,,2025-09-25,Roman Kazička,,KNIFE; images,,,,,,,,,,,,,K000084-ako-aktivovat-na-githube-edu-benefity,,,,,,,
