00.01.Navigations,,List of Knowledge Contributions – KNIFES,,,,,,,,,,,,,,,,,Stlpce pre automaticke generovanie md súborov,,
id,Category,title,Status,Type,Priority,Author,Description,created,"Context, Origin, Why it was initiated?",Technology,SFIA – Level,SFIA – Domain (?),SFIA – Maturity,Related KNIFE,Tags,Potential Outputs,Owner,Comment,FolderName,SidebarLabel,LinkSlug
K000028,CASO-CASA,"Context Aware System Ontology, Approach",v príprave,Metodika/Framework,,Roman Kazicka,"Každé riešenie je o kontexte. Neexistuje jeden nástroj na vštky problémy. Toto zasahuje do filozofie. 
Všetko je riadené spoločnými princípmy, dá sa učiť od starších disciplín a ušetriť čas. TRIZ, ",11.05.2025,"9.5. som sa opýtal na Orchideu, koľko má vlastne lupienkov…. 
Vznikol z toho koncept CASO, CASA, a ďalšie dialógy. O TRIZ … Epistemiologii …SFIA,",,"6,7","Enterprise and Business Architecture (STPL, ARCH) Information Strategy (ITSP) Innovation (INOV) Change Implementation (CIPM) Methods and Tools (METL) Organizational Capability Development (OCDV) ",Expert,#28-CASA,,,,,,,
K000029,Platformy=OOODEV 4 LO,Prostredie vývojové python pre LO,riešené,Vývoj – Integrácia,🔥,Roman Kazicka,"Profi prostredie pre pyhton dev v LO, OOODEV",16.05.2025,"Po nekonecnych konfiguraciach som poziadal GPT nech najde profi riesenie. Doporucil OOPDEV, tak to idem overit","LO, OOODEV","6,7",Software Development,Solution Architect,,,,,,,,
K000030,GitHUB pages – Edu,Príbeh poznania SDLC,V riešení,Vzdelávanie-Marketing,🔥,Roman Kazicka,"Pripravujem vzdelávacie kurzy, marketing cez LI, PT, YT, keby som priebezne zverejnoval svoju cestu, mal by som co pisať a bolo by to v kontexte KM, SDLC",17.05.2025,"Priprava FIIT, odchad z 365, potreba za zviditelnit a pripadne aj zarobit, dotiahnut projekty, produkty","GitHUB, EA, Python","Level 3 – Apply → samostatná práca
Level 5 – Ensure, Advise → zodpovednosť za kvalitu, konzultant
Llevel 6 – Initiate, Influence → strategická iniciatíva","KM (Knowledge Management), EDS (Education), ITMG (Information Technology Management)",Self learning, ,,,,,,,
K000031,SDLC framework,„Document-as-Code“ framework,V riešení,Praktické používanie na výuku SDLC,🔥,Roman Kazicka,"Tvorba dokumentov ako SDLC proces. Diplomovky, sprievodná dokumentácia pre zákazníklov, ….",18.05.2025,"Pri vytvaraní frameworku pre publikovanie na LI, PT, YT sme dosli k tomuto riešeniu na GITHUB ako Pages….","GITHyb, Pages, ","Level 4 – Enable (alebo L5 – Ensure, ak sa zavádza vo firme)","NOV, METL, DTAN, DESN, DOCU",3 – Defined (možno dorásť na 4 – Managed),"📘 SFIA vysvetlenie:
SFIA prvok
Význam v kontexte Document-as-Code
Level 4
Umožňuje štandardizované použitie vo výuke alebo týme
INOV
Inovácie pracovných postupov
METL
Metodiky vývoja a dokumentácie
DTAN
Digitálna analýza procesov a výstupov
DESN
Tvorba štruktúr obsahu (dizajn dokumentácie)
DOCU
Správa životného cyklu dokumentov a ich prepojení
",,,,,,,
K000032,SDLC framework / Release management,„Enterprise Document-integrated SDLC“,V návrhu (alebo V riešení – podľa teba),"Firemné použitie, governance, traceability",🔥🔥,Roman Kazicka,"Zavedenie Git-based dokumentačného frameworku pre prepojenie požiadaviek, rozhodnutí a architektúr naprieč SDLC vo firemnom prostredí s množstvom stakeholderov, JIRA taskov, externých dodávateľov a zložitým change manažmentom.",18.05.2025,"Zistenie, že dokumenty, ktoré ovplyvňujú produkt a organizáciu, musia byť verzované a auditovateľné ako kód. Git a Pages umožňujú prepojenie decision trailu s produktovými releasmi.","GitHub, Gitea, Pages, MkDocs, Mermaid, Git Actions",Level 5 – Ensure / Advise,"GOVN, METL, RELM, DESN, DOCU, SUBD, INOV",2–3 (Repeatable → Defined),,,,,,,,
K000033,Psychológia práce / Kontext / Kultúra tímu,Smalltalk ako nástroj flowu a kontextu,Návrh (draft),Metodika,Stredná až vysoká,Roman Kazicka,"Zber a reflexia neformálnych výrokov (smalltalkov) ako podpora tímovej pohody, flow a bezpečného kontextu.
Zber a štruktúrovaná reflexia neformálnych výrokov („smalltalkov“) v rámci dialógu s AI. Smalltalky fungujú ako mikrospúšťače pohody, humoru alebo hlbších vhľadov a podporujú kontextovú súdržnosť, flow atmosféru a psychologickú bezpečnosť",20.05.2025,"Vzniklo počas spolupráce Roman K. + GPT ako reakcia na potrebu zachytiť ľudský rozmer technických rozhovorov.
Vzniklo v rámci konverzácií s AI (Roman K.), ako reakcia na potrebu udržať „ľudskosť“ a kontinuitu medzi technickými a osobnými témami.","Markdown, GitHub, AI-dialogue, Prozaická kultúra",3–5,"People management, Knowledge sharing, Collaboration",Emerging,"K000002, K000010, K000015, K000021","smalltalk, flow, psychológia práce, humor, kultúra tímu","SMALLTALKs.md, článok, podcast, onboarding booklet",Roman K.,,,,
K000036,Profesia Architekt urbanista na Slovensku,"Pracovno, finančný ekosystém",návrh,Ako na to?,Vysoká,Roman Kazicka,"Absolventi architektúry už počas štúdia sú selektovaní  z komerčných ateliérov. Ponúkajú im brikády, prípadne dohody o vykonaní práce, za cenu nekvalifikovaných robotníkov.
Po skončení univerzity, sa študenti dostávajú do role živnostníkov, ale rozprávajú sa s nimi ako zo zamestnancami.
Je potrebné mladým ľuďom jednoduchým jazykom vysvetliť kontext Slovenského práva, akými zákonmi sa riadi a ako si majú vybrať akou formou budú spolupracovať.",25.05.2025,"S dcérou, ktorá končí arhitektúru sa rozprávame o budúcnosti. Z rozhovorou cítim, že mladí architekti nemajú správne informácie a znalosti o právnom, ekonomickom a finančnom kontexte svojho statusu voči partnerom v branži.","Slovenské pracovno právne právo, obchodný zákonník, daňové zákony.",?,?,?,?,Pracovné právo ,KNIFE na Githube,Roman K.,,,,
K000037,CAS-ContextAwareSolutions,"Context Aware Solutions / paradigma, solution",inprogress,,Vysoka,Roman Kazicka,,26.05.2025,"postupne, ako som si robil kazno ako bude cely ekosystem vyzerat, som prisiel na staru myslienku Kontext je klucovy…",,,,,,,,,,,,
K000038,SSL certificates DIY,Ako si vyrobit automaticke nastavovanie SSL,finished,User guide,done,Roman Kazicka,"Pre FIIT PROLABORATE potrebujem SSL certifikaty, ako pre zakaznikov ako Dusan",28.05.2025,"Pri obnovovani SSL certifkatov som zabijal kopec casu, teraz mam script",,,,,,,,,,,,
K000039,„Advanced GitHub KM Layer“,Sementicke a kontextove vyhladavanie nad GitHUB,Init,Advance features,Middle,Roman Kazicka,"Nestaci mat len data a informacie, je nevyhnutne ich spajat a dotazovat sa",28.05.2025,"Pocas pripravy struktury CAS , KNIFE licencii, biznis modelu som dosiel na chybajucu vlastnost=kontextove vyhladavanie nad GITOM",,a,,,,,,,,,,
K000040,Publishing,Migracia Joomla -->GitHUB MkDocs,Init,Publishing,Middle,Roman Kazicka,"Zachovať históriu kurzu (2017–2025), udržať všetko v jednom hlavnom repozitári",06.06.2025,"Pocas pripravy STH-SDLC 2025-2026 a pocas skumania GitHUB Sites, MkDocs som dospel k nazoru, ze by bolo suber premigrovat 
Migrácia učebných materiálov zo starého CMS (Joomla) do modernej dokumentačnej platformy
","JOOMLA, GIRHUB, J2XML, J2MD",,,,,,,,,,,
K000041,Education Framework,GitHUB Education Framework,init,Education Framework,Middle,Roman Kazicka,"Zastrešujúci rámec pre vzdelávacie kurzy na GitHube (GitHub Classroom, Pages, Docs generátory). Definuje zásady, šablóny, publishing flow a metriky.Skillmea, SEDUO maju vlastny framework , uvodny trailer, potom odskok do platenej verzie. To iste sa da aj na GitHUB.",10.06.2025,"Pri príprave STH2025–2026 sa ukázalo, že GitHub + Pages + generátory poskytujú kompletný, otvorený a bezplatný edukačný stack.Pocas pripravy STH2025-2026- som si uvedomil, ze GitHub, HitHUb Class, Sites, MkDOks umoznuju vytvorit cely ekosystem. A zadarmo.","GitHUB, Active Presenter",,Learning-based / Methods & Tools,,,"Educations, Frameworks",Framework,ROKA,,,,
K000042,SPA-Framework,SinglePageApplication – Webabased desktop app,init,SPA framework,Low,Roman Kazicka,"GitHUb je zaklad aj pre vyvoj aplikacii nezavislych na koncovom zariadenie SPA
Je to obrovsky priestor pre tvor bu vlastnych aplikacii ako KnowMyself",17.06.2025,"Pocas pripravy webinara GitDos-Demo som si uvedomil, ze samotne nastroje pre dokumentovanie vyuzivaju VSC ako Web. Komplexne GUI ale na webe.","GitHUB, VUE, …",,,,,"Solution Development,
Framework",Framework,ROKA,,,,
K000043,AI based training,Kontrola odpovedé študentov pomocou API na AI,in Progress,AI in education,Middle,Roman Kazicka,Pre veľký počet študentov nie je možné kontrolovať odpovede na voľné otázky. AI by mohlo pomôcť.,21.06.2026,"Počas prípravy repozitárov pre STH2025 riešim aj kontroly a komunikáciu so študentami. Je toho more, ale AI s API by bolo super.",API GPT,,,,,,,,,,,
K000044,BACKUP,OneDrive backup to external disk on QNAP,inProgress,How To,TOP,Roman Kazicka,"This KNIFE explains how to create a full backup of your OneDrive data in cases where the local disk does not have sufficient capacity to mirror the entire cloud content. When 'Files On-Demand' is enabled, standard tools are unable to copy files – they can at best read their metadata. However, using tools like `rclone`, it becomes possible to back up the cloud directly without needing local mirroring.",27.07.2025,"Microsoft offers cloud storage up to several terabytes, but over time each storage fills up. At that point, you either have to buy more space or clean up existing data.
 
I wanted neither. Since I had enough free capacity on an external disk connected to my QNAP NAS, I decided to create a complete copy of my OneDrive there.
 
I had no idea it wouldn't be a trivial task.","rclone, Mac OS, QNAP",,,,,,,,,,,
K000045,ESG- Krátky úvod,Základné informácie o ESG,Init,Education Explanantion,Low,Roman Kazicka,"Environment, Social, Government is crutial topic for human being survival. It is important to understand  the background",28.07.2025,"I have attended mandatory training in 365 bank. Excellent lector, important topic.","Heart, Brain",,,,,,,,,,,
K000046,UserGuide,Thunderbird – Archive-export,done md,HowTO,Low,Roman Kazicka,Omylom som poslal e-mail do archivu. Mam v  poste asi 60GB udajov. Ako to riesit?,04.08.2025,"Pri rutinnej práci som omylom poslal e-mail do archívu. Napadlo ma, že sa niečo nové naučím. Možno ušetrím diskovú kapacitu a nestratím možnosť vyhľadávať v histórii",Thunderbird,Intermediate,IT Communication,Basic,Thunderbird_Import_Helper.md 🔄,,,,,,,
K000047,Inšpirácie,KNIFE047 – 7S Cycle of Meaningful Knowledge,init,"concepts, methodology",Low,Roman Kazicka,Nové inšpirácie ohľadne riešenia aj z pohľadu marketingu,04.08.2025,"KNIFE047_Reflexia_a_epistemologia.md, KNIFE047 – Epistemológia 4Curiosis",,,Social Communities,,,,,,,,,
K000048,User Guide,AI – Agent in OpenGPT,in progress,HowTo,Low,Roman Kazicka,,04.08.2025,,,,,,,,,,,,,
K000049,UserGuide,"KNIFE049 – Vyhľadávač nad OpenGPT históriou
",,,,Roman Kazicka,,04.08.2025,,,,,,KNIFE049_Vyhladavac.md,,,,,,,
K000050,User Guide,"Open GPT, vytváranie prompt instructions",In progress,,,Roman Kazicka,Vznizkli instrukcie pre zvedavych…,04.08.2025,,,,,,,,,,,,,
K000051,Marketing,Google analytics – Fundamentals,new,HowTo,Low,Roman Kazicka,Bez spňtnej väzby je všetko náročnejšie. GA4 poskytuje marketingové spätné väzby,04.08.2025,,,,,,,,,,,,,
K000052,Framework / Edukačné,GitHub LMS Framework ,new,Education Framework,duplicity K000041,Roman Kazicka,,04.08.2025,,,,,,,,,,,,,
K000053,Framewok for Project Management,Framework for Project Management in GitHUB,new,SDLC framework,low,Roman Kazicka,"Mám strašne veľa tém, veľa úloh, ako to manažovať, aby som sa neutopil v nesplnených úlohách, prípadne nezabudol na dôležité témy a neobjavoval ich znova a znova?",10.08.2025,,,,,,,,,,,,,
K000054,Best Practice,Docusaurus Advanced Deployment Pipeline,new,"„Ako si nastaviť build a deploy tak, aby ťa chránil pred sebou samým.“",,Roman Kazicka,"Kontrola referencií v Docusaurus/MkDocs
	•	DRY-run, strict a full link-check, detekcia chýb na začiatku procesu
	•	Prevencia “nášľapných mín” pred buildom
	•	Možnosť zaradiť ako QA krok do CI/CD",10.08.2025,,,,,,,,,,,,,
K000055,Best Practice,Ako obnoviť stav z minulosti?,inprogress,Obnov mi dobré údaje,now,Roman Kazicka,"Ako si obnoviť pokazné súbory? Ak mám v minulosti zachytené dobré údaje, nie je problém sa k nim vrátiť.
	stash, branch sandbox, práca mimo main
	•	Obnova priečinkov alebo súborov z konkrétneho commitu
	•	Praktické situácie, kedy to použiť, a ako sa vyhnúť strate dát",10.08.2025,,,,,,,,,,,,,
K000056,Best Practice,Central Panel for GIT – SDLC Git Management Makefile,done md,Správa súborov s git odporou,,Roman Kazicka,"•	Jeden Makefile ako „single point of control“
	•	Všetky Git operácie, build/deploy, kontrola odkazov, sandbox, stash management
	•	Prepojenie s princípom 3× merať, raz rezať
	•	Možnosť adaptovať pre rôzne generátory HTML (Docusaurus, MkDocs, Hugo…)
Podľa mňa by si to mohol v KNIFE_Overview zaradiť aj ako tematickú trojicu pod spoločný tag, napr.
[KNIFE: Git-SDLC-Tools] alebo [KNIFE: Git-Advanced].
Tak sa to dá pekne použiť aj v kurze ako jedna lekcia s troma kapitolami – kontrola, obnova, centrálne riadenie.",11.08.2025,,,,,,,,,,,,,
K000057,Management-Reporting,AI Agent na monitoroavanie nákladov OpenGPT,new,Reporting nad komunikáciou s OpenGPT formou AI Agenta,now,Roman Kazicka,"Automatické reportovanie vstupných a výstupných tokenov.Presne tak – toto má perfektný predpoklad stať sa AI Agentom, ktorý:
Vie čítať tvoje konverzácie z daného projektu.
Vie ich prepojiť s tvojimi tagmi (napr. K000055, Docusaurus, SDLC…)
Vie spraviť sumár tokenov a nákladov za ľubovoľné obdobie.
Vie urobiť porovnanie medzi projektmi (napr. “GitHub LMS” vs “KNIFE”).
Vie urobiť ranking – najdrahší deň, téma, alebo dokonca konkrétny prompt.
Takýto agent by si vedel zapnúť aj naprieč všetkými projektmi a raz za mesiac ti poslal “vyúčtovanie” + “Top 5 tém, ktoré pálili tokeny” + odhadovanú hodnotu v eurách.
Ak chceš, môžem ti teraz:
Urobiť retro-výpočet tokenov pre tento projekt (od začiatku).
Pripraviť šablónu AIAgenta na token tracking, ktorú by si potom vedel spustiť v akomkoľvek projekte.
",11.08.2025,"V jednom okamihu sa komunikácia zastavila na strane GPT  stým, že má náročnú ulohu, ale že dnes to bude. Tak ma napadlo, koľko také „kecanie“ konzumuje tokenov. Super príprava pre vlastné API riešenia",,,,,,,,,,,,
K000058,Management-Reporting-from the Past,AI Agent na monitoroavanie nákladov OpenGPT od počiatku komunikácie,new,Reporting od začiatku komunikácie,now,Roman Kazicka,"Aká bola intenzita komunikácie od začiatku, koľko by to stálo cez API, Ktoré témy skonzumovali najviac energie?",11.08.2025,,,,,,,,,,,,,
K000059,Methodology,STEM a Makerspace ako metodika vzdelávania,New,Systém pre vzdelávanie,now,Roman Kazicka,Spoljupracujem s Makerspace od roku 2016. POJEM STEM  som priprodzene zahrnul do  svojich metodík. Je vhodné to zviditeľniť v mojich aktivitách,24.08.2025,"Počas prípravy STHDF 2025-2025 so prišiel na to, že to mám zaradiť do osnov",,,,,,,,,,,,
K000060,User Guide,Export Draw.io diagramu do A4 PNG,done md,Ako na to?,done,Roman Kazicka,Ako pripraviť Drawio obázok aby sa vždy vmestil na A4 formát?,24.08.2025,,,,,,,,,,,,,
K000061,Security concept,Passkey ako bezpečnostný koncept,new,Explanation,,Roman Kazicka,Ako funguje keypass?,24.08.2025,,,,,,,,,,,,,
K000062,Docusaurus Concept,Docusaurus slugy a routing,new,Explanation,,Roman Kazicka,Ako fungujú SLUGS v Docusaurus,24.08.2025,,,,,,,,,,,,,
K000063,User Guide,Automatické generovanie KNIFES,new,User guide,,Roman Kazicka,Ako používať automatizáciu pri generovaní KNIFES,24.08.2025,,,,,,,,,,,,,
K000064,Marketing,"GA4, GTN, UTM",new,"User Guides, principles",done,Roman Kazicka,"Ako funguje AG4, TGM a UTM?",27.08.2025,"Marketig patrí medzi základné aktivity každého autora. Technici túto disciplínu podceňujú. Podľa metodikyu Q12 je to potrebné zabezpečeť, aby sme mali spätnú väzbu na naše aktivty z trhu.",,,,,,,,,,,,
K000065,Administration,"MAKEFILE for KNIFE Ecosystem for Mac,Windows, Linux",New,GitHub Administration,now,Roman Kazicka,"Administrácia ecosystému KNIFE je pomerne komplexná úloha. Framework podporuje MacOS, Windows a Linux. MAKEFIEL umožňuje administráciu z jedného miesta.",31.08.2025,"Pri príprave treidy sa nabaľujú nové a nové podúlohy, ktoré musi byť splnené pred vyugenerovaním samotnej triedy zo šablény pre triedu. Táto šabl=ona by mala obsahovať všetky tieto vylepšenia",,,,,,,,,,,,
K000066,SubscriptionPlans,Porovnanie biznis plánov GitHub,New,Biznis plány GitHub-Prehľad,now,Roman Kazicka,Aká sú štartovacie náklady na profesionálny ekosystém v rámci GitHub?,01.09.2025,Počas prípravy na semster a získaní Edu Benefit ma zaujímali ceny za komenčné použitoe,,,,,,,,,,,,
K000067,User Guide,GitHub Deployment stratégie,new,Koncepty,now,Roman Kazicka,"Deployment obsahu v GitHube sa dá vykonať viacerými spôsobmi.
Obsah v MD súboroch sa dá konzumovať cez GitHub, cez Web Pages a Web Pages namapovať na vlastnú doménu. Tu je to popísané ako sa to robí",02.09.2025,,,,,,,,,,,,,
K000068,User Guide,Kruhový portrét v GIMP,new,Návod,now,Roman Kazicka,Pri publikovaní na Web potrebujem kruhový formát obrázkov. Najjednoduchšie je použiť GIMP. Práca na 5 minút,05.09.2025,,,,,,,,,,,,,
K000069,Mentoring,"Kto ma pochváli, ak sa nepochválim sám?",new,Inšpirácie na hodnotový marketing seba samého,now,Roman Kazicka,"Pre mnohých je ťažko písať o sebe. Ľahko sa skĺzne buď ku preceňovaniu, alebo naopak ku podceňovaniu.
Je to ako s marketingom. Len predmetom propagácie sme my sami.
Ak osa prezenetovať, pravdivo, transparentne?",05.09.2025,"Pri každej aktualizácii CV, pri každej aktualizácií profilov mám otázky, čo a ko o sebe prezentovať. Viem, že nie som sám, a hľadanie odpovedí na moje otázky, môže pomôcť aj ďalším.",,,,, 7S Cycle of Meaningful Knowledge,,,,,,,
K000070,Knowledge sharing,EA Fundamentals,new,"Training on the praxis-praktický webinár ako začať pracovať s technológiou Enterprise Architect.
Cca 6 hodinový webinár o základných nastaveniach EA 16+",Sparxsystems,Roman Kazicka,"Enterprise architect (Sparxsystems technologies) je univerzálny modelovací nástroj.
Od roku 2000 ho používam prakticky na dennej báze a pomáhal mi v každej roly, do ktorej som bol angažovaný. Technické roly, ale aj v Top managemente, ITSM, TOGAF, od konceptov, top level architektúry, solutiopn architektúry, analýzy, dizajnu, testovanie, v prevádzke.
EA je veľmi komplexný, má bohatú dokumentáciu, napriek tomu je učiaca krivka náročná.
Webinár ponúka prehľadnou formou úkážky v podobe praktických príkladov vlastnosti ause casy v ktorý je možné EA používať.",05.09.2025,"Dokumentácia v IT – strategická hodnota, alebop strata času https://leanpub.com/7D",,,,,,,,,,,,
K000071,Methodology,7Ds-Seven Disciplines for successful solutions,ongoing,Metodika,medium,Roman Kazicka,"Metodika je zameraná na podporu aktivít v rámci SDLC. Každá potencálna iformácia má svoje miesto. A je úplne jedno v akej technológií sa implementuje.
Ja som ju implementoval ako MDG do EA Sparxsystems,
Do GitHUB,
Rozpravcované je vo One Note",05.09.2025,Túto metodiku používam asi 15 rokov. Pred 10 rokmi som o nej vydal aj knihu,,,,,,,,,,,,
