ID,display_id,GUID,ShortTitle,Category,Type,Status,Priority,Date,Author,Authors,Tags,Description,FolderName,SidebarLabel,LinkSlug,Org,Project,Locale,Unnamed: 0,List of Knowledge Contributions – KNIFES,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Stlpce pre automaticke generovanie md súborov,DisplayID
,,,,,,,,,,,,,untitled,,,,,,K000021,TERNO – terapeutické formy učenia,"Satira, emócie a storytelling ako forma výuky a reflektovania reality",plánované,EducationViaJoy,Edukačné / Kultúrne/Edukačný proces,,Roman Kazicka,,,20.03.2025,🎭,Diskusia o forme učenia počas plánovania T004,,2,Learning Design,Teaching-oriented,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000022,AI interakcie – časová os a emócie,"Zaznamenávanie malých interakcií, small-talkov a spätných väzieb pre orientáciu v čase",v návrhu,Smalltalks,AI / UX / Sebapoznanie,,Roman Kazicka,,,13.04.2025,🧭,Reflexia počas návrhu AI klienta – T018,,2,General Knowledge Work,Adaptive,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000023,OneNote ako zdroj metadát pre AI,Prepájanie osobného poznámkového systému s AI klientom a projektmi,v návrhu,PersonalKMsystem,Integrácia / Poznámky,,Roman Kazicka,,,13.04.2025,🗃️,Väzba medzi OneNote a projektovým manažmentom – T017,,2,General Knowledge Work,Adaptive,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000024,Kategorizácia TERNO podľa SDLC a 7D,Zaradenie každého TERNO podľa fázy vývoja a vedomostnej disciplíny,zaradené,Methodology,Metodika / Evidencia,,Roman Kazicka,,,01.03.2025,📊,Systematizácia potreby klasifikovať TERNA – vzniklo pri tvorbe SSOT,,2,General Knowledge Work,Adaptive,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000025,"KNIFE Framework pre vývoj a učenie sa (LibreOffice, Python)","Jednotný rámec pre budovanie, testovanie a učenie sa v malých krokoch pomocou LibreOffice + Python. Každý krok reprezentuje samostatnú jednotku (TERNO), ktorú je možné testovať a spätne dohľadať. Vhodné na výuku aj profesionálny vývoj.",v procese,Framework / Edukačné,Framework / Metodika / Edukačný základ,,Roman Kazicka,,,20.04.2025,🔥,"Pri vývoji Personalised Calendards vznikla potreba vytvorič si „Dieľňu“ pre LO,Projekt 05-LibreOffice, priečinok 01-PersonalisedCalendars/01-Basic-Calendar/4/terno-framework","LibreOffice, Python, VS Code, Testovanie, JSON, Git",3,Software Development,Scriptable,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000026,Git For Dummies – Central Concepts,"Jednoduché vysvetlenie Git základov pre začiatočníkov v GitEA (organizácia, repozitár, working directory, atď.)",v príprave,Versioning / Git,Edukačné / Praktické,,Roman Kazicka,,,28.04.2025,🎯,Vzniklo ako základný materiál pre školenie GitEA procesov a tímovú prácu,"Git, GitEA",2,Software Configuration,Learning-based,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000027,"Context Aware System Ontology, Approach","Každé riešenie je o kontexte. Neexistuje jeden nástroj na vštky problémy. Toto zasahuje do filozofie. 
Všetko je riadené spoločnými princípmy, dá sa učiť od starších disciplín a ušetriť čas. TRIZ, ",v príprave,CASO-CASA,Metodika/Framework,,Roman Kazicka,,,11.05.2025,,"9.5. som sa opýtal na Orchideu, koľko má vlastne lupienkov…. 
Vznikol z toho koncept CASO, CASA, a ďalšie dialógy. O TRIZ … Epistemiologii …SFIA,",,"6,7","Enterprise and Business Architecture (STPL, ARCH) Information Strategy (ITSP) Innovation (INOV) Change Implementation (CIPM) Methods and Tools (METL) Organizational Capability Development (OCDV) ",Expert,#28-CASA,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000028,Prostredie vývojové python pre LO,"Profi prostredie pre pyhton dev v LO, OOODEV",riešené,Platformy=OOODEV 4 LO,Vývoj – Integrácia,,Roman Kazicka,,,16.05.2025,🔥,"Po nekonecnych konfiguraciach som poziadal GPT nech najde profi riesenie. Doporucil OOPDEV, tak to idem overit","LO, OOODEV","6,7",Software Development,Solution Architect,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000029,Príbeh poznania SDLC,"Pripravujem vzdelávacie kurzy, marketing cez LI, PT, YT, keby som priebezne zverejnoval svoju cestu, mal by som co pisať a bolo by to v kontexte KM, SDLC",V riešení,GitHUB pages – Edu,Vzdelávanie-Marketing,,Roman Kazicka,,,17.05.2025,🔥,"Priprava FIIT, odchad z 365, potreba za zviditelnit a pripadne aj zarobit, dotiahnut projekty, produkty","GitHUB, EA, Python","Level 3 – Apply → samostatná práca
Level 5 – Ensure, Advise → zodpovednosť za kvalitu, konzultant
Llevel 6 – Initiate, Influence → strategická iniciatíva","KM (Knowledge Management), EDS (Education), ITMG (Information Technology Management)",Self learning, ,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000030,„Document-as-Code“ framework,"Tvorba dokumentov ako SDLC proces. Diplomovky, sprievodná dokumentácia pre zákazníklov, ….",V riešení,SDLC framework,Praktické používanie na výuku SDLC,,Roman Kazicka,,,18.05.2025,🔥,"Pri vytvaraní frameworku pre publikovanie na LI, PT, YT sme dosli k tomuto riešeniu na GITHUB ako Pages….","GITHyb, Pages, ","Level 4 – Enable (alebo L5 – Ensure, ak sa zavádza vo firme)","NOV, METL, DTAN, DESN, DOCU",3 – Defined (možno dorásť na 4 – Managed),"📘 SFIA vysvetlenie:
SFIA prvok
Význam v kontexte Document-as-Code
Level 4
Umožňuje štandardizované použitie vo výuke alebo týme
INOV
Inovácie pracovných postupov
METL
Metodiky vývoja a dokumentácie
DTAN
Digitálna analýza procesov a výstupov
DESN
Tvorba štruktúr obsahu (dizajn dokumentácie)
DOCU
Správa životného cyklu dokumentov a ich prepojení
",,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000031,„Enterprise Document-integrated SDLC“,"Zavedenie Git-based dokumentačného frameworku pre prepojenie požiadaviek, rozhodnutí a architektúr naprieč SDLC vo firemnom prostredí s množstvom stakeholderov, JIRA taskov, externých dodávateľov a zložitým change manažmentom.",V návrhu (alebo V riešení – podľa teba),SDLC framework / Release management,"Firemné použitie, governance, traceability",,Roman Kazicka,,,18.05.2025,🔥🔥,"Zistenie, že dokumenty, ktoré ovplyvňujú produkt a organizáciu, musia byť verzované a auditovateľné ako kód. Git a Pages umožňujú prepojenie decision trailu s produktovými releasmi.","GitHub, Gitea, Pages, MkDocs, Mermaid, Git Actions",Level 5 – Ensure / Advise,"GOVN, METL, RELM, DESN, DOCU, SUBD, INOV",2–3 (Repeatable → Defined),,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000032,Smalltalk ako nástroj flowu a kontextu,"Zber a reflexia neformálnych výrokov (smalltalkov) ako podpora tímovej pohody, flow a bezpečného kontextu.
Zber a štruktúrovaná reflexia neformálnych výrokov („smalltalkov“) v rámci dialógu s AI. Smalltalky fungujú ako mikrospúšťače pohody, humoru alebo hlbších vhľadov a podporujú kontextovú súdržnosť, flow atmosféru a psychologickú bezpečnosť",Návrh (draft),Psychológia práce / Kontext / Kultúra tímu,Metodika,"smalltalk, flow, psychológia práce, humor, kultúra tímu",Roman Kazicka,,,20.05.2025,Stredná až vysoká,"Vzniklo počas spolupráce Roman K. + GPT ako reakcia na potrebu zachytiť ľudský rozmer technických rozhovorov.
Vzniklo v rámci konverzácií s AI (Roman K.), ako reakcia na potrebu udržať „ľudskosť“ a kontinuitu medzi technickými a osobnými témami.","Markdown, GitHub, AI-dialogue, Prozaická kultúra",3–5,"People management, Knowledge sharing, Collaboration",Emerging,"K000002, K000010, K000015, K000021","SMALLTALKs.md, článok, podcast, onboarding booklet",Roman K.,,,,
,,,,,,,,,,,,,untitled,,,,,,K000033,"Pracovno, finančný ekosystém","Absolventi architektúry už počas štúdia sú selektovaní  z komerčných ateliérov. Ponúkajú im brikády, prípadne dohody o vykonaní práce, za cenu nekvalifikovaných robotníkov.
Po skončení univerzity, sa študenti dostávajú do role živnostníkov, ale rozprávajú sa s nimi ako zo zamestnancami.
Je potrebné mladým ľuďom jednoduchým jazykom vysvetliť kontext Slovenského práva, akými zákonmi sa riadi a ako si majú vybrať akou formou budú spolupracovať.",návrh,Profesia Architekt urbanista na Slovensku,Ako na to?,Pracovné právo ,Roman Kazicka,,,25.05.2025,Vysoká,"S dcérou, ktorá končí arhitektúru sa rozprávame o budúcnosti. Z rozhovorou cítim, že mladí architekti nemajú správne informácie a znalosti o právnom, ekonomickom a finančnom kontexte svojho statusu voči partnerom v branži.","Slovenské pracovno právne právo, obchodný zákonník, daňové zákony.",?,?,?,?,KNIFE na Githube,Roman K.,,,,
,,,,,,,,,,,,,untitled,,,,,,K000034,"Context Aware Solutions / paradigma, solution",,inprogress,CAS-ContextAwareSolutions,,,Roman Kazicka,,,26.05.2025,Vysoka,"postupne, ako som si robil kazno ako bude cely ekosystem vyzerat, som prisiel na staru myslienku Kontext je klucovy…",,,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000035,Ako si vyrobit automaticke nastavovanie SSL,"Pre FIIT PROLABORATE potrebujem SSL certifikaty, ako pre zakaznikov ako Dusan",finished,SSL certificates DIY,User guide,,Roman Kazicka,,,28.05.2025,done,"Pri obnovovani SSL certifkatov som zabijal kopec casu, teraz mam script",,,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000036,Sementicke a kontextove vyhladavanie nad GitHUB,"Nestaci mat len data a informacie, je nevyhnutne ich spajat a dotazovat sa",Init,„Advanced GitHub KM Layer“,Advance features,,Roman Kazicka,,,28.05.2025,Middle,"Pocas pripravy struktury CAS , KNIFE licencii, biznis modelu som dosiel na chybajucu vlastnost=kontextove vyhladavanie nad GITOM",,a,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000037,Migracia Joomla -->GitHUB MkDocs,"Zachovať históriu kurzu (2017–2025), udržať všetko v jednom hlavnom repozitári",Init,Publishing,Publishing,,Roman Kazicka,,,06.06.2025,Middle,"Pocas pripravy STH-SDLC 2025-2026 a pocas skumania GitHUB Sites, MkDocs som dospel k nazoru, ze by bolo suber premigrovat 
Migrácia učebných materiálov zo starého CMS (Joomla) do modernej dokumentačnej platformy
","JOOMLA, GIRHUB, J2XML, J2MD",,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000038,GitHUB Education Framework,"Zastrešujúci rámec pre vzdelávacie kurzy na GitHube (GitHub Classroom, Pages, Docs generátory). Definuje zásady, šablóny, publishing flow a metriky.Skillmea, SEDUO maju vlastny framework , uvodny trailer, potom odskok do platenej verzie. To iste sa da aj na GitHUB.",init,Education Framework,Education Framework,"Educations, Frameworks",Roman Kazicka,,,10.06.2025,Middle,"Pri príprave STH2025–2026 sa ukázalo, že GitHub + Pages + generátory poskytujú kompletný, otvorený a bezplatný edukačný stack.Pocas pripravy STH2025-2026- som si uvedomil, ze GitHub, HitHUb Class, Sites, MkDOks umoznuju vytvorit cely ekosystem. A zadarmo.","GitHUB, Active Presenter",,Learning-based / Methods & Tools,,,Framework,ROKA,,,,
,,,,,,,,,,,,,untitled,,,,,,K000039,SinglePageApplication – Webabased desktop app,"GitHUb je zaklad aj pre vyvoj aplikacii nezavislych na koncovom zariadenie SPA
Je to obrovsky priestor pre tvor bu vlastnych aplikacii ako KnowMyself",init,SPA-Framework,SPA framework,"Solution Development,
Framework",Roman Kazicka,,,17.06.2025,Low,"Pocas pripravy webinara GitDos-Demo som si uvedomil, ze samotne nastroje pre dokumentovanie vyuzivaju VSC ako Web. Komplexne GUI ale na webe.","GitHUB, VUE, …",,,,,Framework,ROKA,,,,
,,,,,,,,,,,,,untitled,,,,,,K000040,Kontrola odpovedé študentov pomocou API na AI,Pre veľký počet študentov nie je možné kontrolovať odpovede na voľné otázky. AI by mohlo pomôcť.,in Progress,AI based training,AI in education,,Roman Kazicka,,,21.06.2026,Middle,"Počas prípravy repozitárov pre STH2025 riešim aj kontroly a komunikáciu so študentami. Je toho more, ale AI s API by bolo super.",API GPT,,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000041,OneDrive backup to external disk on QNAP,"This KNIFE explains how to create a full backup of your OneDrive data in cases where the local disk does not have sufficient capacity to mirror the entire cloud content. When 'Files On-Demand' is enabled, standard tools are unable to copy files – they can at best read their metadata. However, using tools like `rclone`, it becomes possible to back up the cloud directly without needing local mirroring.",inProgress,BACKUP,How To,,Roman Kazicka,,,27.07.2025,TOP,"Microsoft offers cloud storage up to several terabytes, but over time each storage fills up. At that point, you either have to buy more space or clean up existing data.
 
I wanted neither. Since I had enough free capacity on an external disk connected to my QNAP NAS, I decided to create a complete copy of my OneDrive there.
 
I had no idea it wouldn't be a trivial task.","rclone, Mac OS, QNAP",,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000042,Základné informácie o ESG,"Environment, Social, Government is crutial topic for human being survival. It is important to understand  the background",Init,ESG- Krátky úvod,Education Explanantion,,Roman Kazicka,,,28.07.2025,Low,"I have attended mandatory training in 365 bank. Excellent lector, important topic.","Heart, Brain",,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000043,Thunderbird – Archive-export,Omylom som poslal e-mail do archivu. Mam v  poste asi 60GB udajov. Ako to riesit?,done md,UserGuide,HowTO,,Roman Kazicka,,,04.08.2025,Low,"Pri rutinnej práci som omylom poslal e-mail do archívu. Napadlo ma, že sa niečo nové naučím. Možno ušetrím diskovú kapacitu a nestratím možnosť vyhľadávať v histórii",Thunderbird,Intermediate,IT Communication,Basic,Thunderbird_Import_Helper.md 🔄,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000044,KNIFE047 – 7S Cycle of Meaningful Knowledge,Nové inšpirácie ohľadne riešenia aj z pohľadu marketingu,init,Inšpirácie,"concepts, methodology",,Roman Kazicka,,,04.08.2025,Low,"KNIFE047_Reflexia_a_epistemologia.md, KNIFE047 – Epistemológia 4Curiosis",,,Social Communities,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000045,AI – Agent in OpenGPT,,in progress,User Guide,HowTo,,Roman Kazicka,,,04.08.2025,Low,,,,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000046,"KNIFE049 – Vyhľadávač nad OpenGPT históriou
",,,UserGuide,,,Roman Kazicka,,,04.08.2025,,,,,,,KNIFE049_Vyhladavac.md,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000047,"Open GPT, vytváranie prompt instructions",Vznizkli instrukcie pre zvedavych…,In progress,User Guide,,,Roman Kazicka,,,04.08.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000048,Google analytics – Fundamentals,Bez spňtnej väzby je všetko náročnejšie. GA4 poskytuje marketingové spätné väzby,new,Marketing,HowTo,,Roman Kazicka,,,04.08.2025,Low,,,,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000049,GitHub LMS Framework ,,new,Framework / Edukačné,Education Framework,,Roman Kazicka,,,04.08.2025,duplicity K000041,,,,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000050,Framework for Project Management in GitHUB,"Mám strašne veľa tém, veľa úloh, ako to manažovať, aby som sa neutopil v nesplnených úlohách, prípadne nezabudol na dôležité témy a neobjavoval ich znova a znova?",new,Framewok for Project Management,SDLC framework,,Roman Kazicka,,,10.08.2025,low,,,,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000051,Docusaurus Advanced Deployment Pipeline,"Kontrola referencií v Docusaurus/MkDocs
	•	DRY-run, strict a full link-check, detekcia chýb na začiatku procesu
	•	Prevencia “nášľapných mín” pred buildom
	•	Možnosť zaradiť ako QA krok do CI/CD",new,Best Practice,"„Ako si nastaviť build a deploy tak, aby ťa chránil pred sebou samým.“",,Roman Kazicka,,,10.08.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000052,Ako obnoviť stav z minulosti?,"Ako si obnoviť pokazné súbory? Ak mám v minulosti zachytené dobré údaje, nie je problém sa k nim vrátiť.
	stash, branch sandbox, práca mimo main
	•	Obnova priečinkov alebo súborov z konkrétneho commitu
	•	Praktické situácie, kedy to použiť, a ako sa vyhnúť strate dát",inprogress,Best Practice,Obnov mi dobré údaje,,Roman Kazicka,,,10.08.2025,now,,,,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000053,Central Panel for GIT – SDLC Git Management Makefile,"•	Jeden Makefile ako „single point of control“
	•	Všetky Git operácie, build/deploy, kontrola odkazov, sandbox, stash management
	•	Prepojenie s princípom 3× merať, raz rezať
	•	Možnosť adaptovať pre rôzne generátory HTML (Docusaurus, MkDocs, Hugo…)
Podľa mňa by si to mohol v KNIFE_Overview zaradiť aj ako tematickú trojicu pod spoločný tag, napr.
[KNIFE: Git-SDLC-Tools] alebo [KNIFE: Git-Advanced].
Tak sa to dá pekne použiť aj v kurze ako jedna lekcia s troma kapitolami – kontrola, obnova, centrálne riadenie.",done md,Best Practice,Správa súborov s git odporou,,Roman Kazicka,,,11.08.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000054,AI Agent na monitoroavanie nákladov OpenGPT,"Automatické reportovanie vstupných a výstupných tokenov.Presne tak – toto má perfektný predpoklad stať sa AI Agentom, ktorý:
Vie čítať tvoje konverzácie z daného projektu.
Vie ich prepojiť s tvojimi tagmi (napr. K000055, Docusaurus, SDLC…)
Vie spraviť sumár tokenov a nákladov za ľubovoľné obdobie.
Vie urobiť porovnanie medzi projektmi (napr. “GitHub LMS” vs “KNIFE”).
Vie urobiť ranking – najdrahší deň, téma, alebo dokonca konkrétny prompt.
Takýto agent by si vedel zapnúť aj naprieč všetkými projektmi a raz za mesiac ti poslal “vyúčtovanie” + “Top 5 tém, ktoré pálili tokeny” + odhadovanú hodnotu v eurách.
Ak chceš, môžem ti teraz:
Urobiť retro-výpočet tokenov pre tento projekt (od začiatku).
Pripraviť šablónu AIAgenta na token tracking, ktorú by si potom vedel spustiť v akomkoľvek projekte.
",new,Management-Reporting,Reporting nad komunikáciou s OpenGPT formou AI Agenta,,Roman Kazicka,,,11.08.2025,now,"V jednom okamihu sa komunikácia zastavila na strane GPT  stým, že má náročnú ulohu, ale že dnes to bude. Tak ma napadlo, koľko také „kecanie“ konzumuje tokenov. Super príprava pre vlastné API riešenia",,,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000055,AI Agent na monitoroavanie nákladov OpenGPT od počiatku komunikácie,"Aká bola intenzita komunikácie od začiatku, koľko by to stálo cez API, Ktoré témy skonzumovali najviac energie?",new,Management-Reporting-from the Past,Reporting od začiatku komunikácie,,Roman Kazicka,,,11.08.2025,now,,,,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000056,STEM a Makerspace ako metodika vzdelávania,Spoljupracujem s Makerspace od roku 2016. POJEM STEM  som priprodzene zahrnul do  svojich metodík. Je vhodné to zviditeľniť v mojich aktivitách,New,Methodology,Systém pre vzdelávanie,,Roman Kazicka,,,24.08.2025,now,"Počas prípravy STHDF 2025-2025 so prišiel na to, že to mám zaradiť do osnov",,,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000057,Export Draw.io diagramu do A4 PNG,Ako pripraviť Drawio obázok aby sa vždy vmestil na A4 formát?,done md,User Guide,Ako na to?,,Roman Kazicka,,,24.08.2025,done,,,,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000058,Passkey ako bezpečnostný koncept,Ako funguje keypass?,new,Security concept,Explanation,,Roman Kazicka,,,24.08.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000059,Docusaurus slugy a routing,Ako fungujú SLUGS v Docusaurus,new,Docusaurus Concept,Explanation,,Roman Kazicka,,,24.08.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000060,Automatické generovanie KNIFES,Ako používať automatizáciu pri generovaní KNIFES,new,User Guide,User guide,,Roman Kazicka,,,24.08.2025,,,,,,,,,,,,,
